Kaynak,Tuketim,Tarih,YIL
Taşkömürü + İthal Kömür,6668.928312,2019-12-01,2019
Lignite,4415.807372,2019-12-01,2019
Liquid Fuels,31.34005,2019-12-01,2019
Doğal Gaz + LNG,6464.115071462436,2019-12-01,2019
Yenilenebilir + Atık,413.72801500595807,2019-12-01,2019
Termik,17993.918820468396,2019-12-01,2019
Hidrolik,5090.321469779001,2019-12-01,2019
Jeotermal + Rüzgar + Güneş,3141.7825173355286,2019-12-01,2019
Brüt Üretim,26226.02280758293,2019-12-01,2019
Taşkömürü + İthal Kömür,6639.5705414,2020-01-01,2020
Lignite,3153.98345952,2020-01-01,2020
Liquid Fuels,24.813147996,2020-01-01,2020
Doğal Gaz + LNG,7567.9996916421,2020-01-01,2020
Yenilenebilir + Atık,446.25216697,2020-01-01,2020
Termik,17832.6190075281,2020-01-01,2020
Hidrolik,5480.528118403001,2020-01-01,2020
Jeotermal + Rüzgar + Güneş,3818.726434111446,2020-01-01,2020
Brüt Üretim,27131.873560042543,2020-01-01,2020
Taşkömürü + İthal Kömür,5806.41621967,2020-02-01,2020
Lignite,2982.16062357,2020-02-01,2020
Liquid Fuels,18.065492734000003,2020-02-01,2020
Doğal Gaz + LNG,4960.185073906651,2020-02-01,2020
Yenilenebilir + Atık,423.41363167,2020-02-01,2020
Termik,14190.241041550653,2020-02-01,2020
Hidrolik,7172.732871257689,2020-02-01,2020
Jeotermal + Rüzgar + Güneş,3647.215835509989,2020-02-01,2020
Brüt Üretim,25010.189748318327,2020-02-01,2020
Taşkömürü + İthal Kömür,5217.509368963,2020-03-01,2020
Lignite,2948.24059944,2020-03-01,2020
Liquid Fuels,26.684343733,2020-03-01,2020
Doğal Gaz + LNG,2582.47378443055,2020-03-01,2020
Yenilenebilir + Atık,466.444950135,2020-03-01,2020
Termik,11241.353046701548,2020-03-01,2020
Hidrolik,9627.6066764,2020-03-01,2020
Jeotermal + Rüzgar + Güneş,3885.1384675989993,2020-03-01,2020
Brüt Üretim,24754.098190700548,2020-03-01,2020
Taşkömürü + İthal Kömür,2903.22891028,2020-04-01,2020
Lignite,2406.78786548,2020-04-01,2020
Liquid Fuels,36.711871135,2020-04-01,2020
Doğal Gaz + LNG,1584.1095738784368,2020-04-01,2020
Yenilenebilir + Atık,454.0898978249999,2020-04-01,2020
Termik,7384.928118598437,2020-04-01,2020
Hidrolik,9140.014900791,2020-04-01,2020
Jeotermal + Rüzgar + Güneş,3838.317488887,2020-04-01,2020
Brüt Üretim,20363.260508276435,2020-04-01,2020
Taşkömürü + İthal Kömür,3543.541001986,2020-05-01,2020
Lignite,2576.16905942,2020-05-01,2020
Liquid Fuels,21.38866991,2020-05-01,2020
Doğal Gaz + LNG,1800.66976879,2020-05-01,2020
Yenilenebilir + Atık,472.83221749,2020-05-01,2020
Termik,8414.600717596,2020-05-01,2020
Hidrolik,9023.44299233,2020-05-01,2020
Jeotermal + Rüzgar + Güneş,3499.803741442,2020-05-01,2020
Brüt Üretim,20937.847451368,2020-05-01,2020
Taşkömürü + İthal Kömür,5916.796705889999,2020-06-01,2020
Lignite,3630.84358043,2020-06-01,2020
Liquid Fuels,23.163495431,2020-06-01,2020
Doğal Gaz + LNG,3724.19800297048,2020-06-01,2020
Yenilenebilir + Atık,452.3682996900001,2020-06-01,2020
Termik,13747.37008441148,2020-06-01,2020
Hidrolik,6583.43787927,2020-06-01,2020
Jeotermal + Rüzgar + Güneş,3206.617312258323,2020-06-01,2020
Brüt Üretim,23537.425275939804,2020-06-01,2020
Taşkömürü + İthal Kömür,6619.975191149,2020-07-01,2020
Lignite,3373.61831199,2020-07-01,2020
Liquid Fuels,25.144891113,2020-07-01,2020
Doğal Gaz + LNG,6728.29101412638,2020-07-01,2020
Yenilenebilir + Atık,492.506766775,2020-07-01,2020
Termik,17239.536175153382,2020-07-01,2020
Hidrolik,6741.4245749,2020-07-01,2020
Jeotermal + Rüzgar + Güneş,4669.885974680001,2020-07-01,2020
Brüt Üretim,28650.846724733383,2020-07-01,2020
