Kaynak,Tuketim,Tarih,YIL
Taşkömürü + İthal Kömür,7744.9926803,2023-08-01,2023
Lignite,3574.59558524,2023-08-01,2023
Liquid Fuels,39.510823691,2023-08-01,2023
Doğal Gaz + LNG,9687.384185436686,2023-08-01,2023
Yenilenebilir + Atık,863.3212448941,2023-08-01,2023
Termik,21909.804519561785,2023-08-01,2023
Hidrolik,5442.8359059017,2023-08-01,2023
Jeotermal + Rüzgar + Güneş,6632.371066621001,2023-08-01,2023
Brüt Üretim,33985.011492084486,2023-08-01,2023
Taşkömürü + İthal Kömür,7254.500305279999,2023-09-01,2023
Lignite,3460.86824802,2023-09-01,2023
Liquid Fuels,33.853599763999995,2023-09-01,2023
Doğal Gaz + LNG,6940.445891802674,2023-09-01,2023
Yenilenebilir + Atık,851.0730296769001,2023-09-01,2023
Termik,18540.741074543574,2023-09-01,2023
Hidrolik,3908.36675050231,2023-09-01,2023
Jeotermal + Rüzgar + Güneş,6547.602258900701,2023-09-01,2023
Brüt Üretim,28996.710083946586,2023-09-01,2023
Taşkömürü + İthal Kömür,7088.52669403,2023-10-01,2023
Lignite,3709.51366346,2023-10-01,2023
Liquid Fuels,28.781193898,2023-10-01,2023
Doğal Gaz + LNG,5689.478398948465,2023-10-01,2023
Yenilenebilir + Atık,847.2355510874002,2023-10-01,2023
Termik,17363.535501423863,2023-10-01,2023
Hidrolik,3875.3312520990994,2023-10-01,2023
Jeotermal + Rüzgar + Güneş,5148.911039142451,2023-10-01,2023
Brüt Üretim,26387.777792665413,2023-10-01,2023
Taşkömürü + İthal Kömür,7163.4624013,2023-11-01,2023
Lignite,3605.34250356,2023-11-01,2023
Liquid Fuels,40.15081559666667,2023-11-01,2023
Doğal Gaz + LNG,4920.884450397331,2023-11-01,2023
Yenilenebilir + Atık,864.4227448804999,2023-11-01,2023
Termik,16594.262915734496,2023-11-01,2023
Hidrolik,4205.925953852499,2023-11-01,2023
Jeotermal + Rüzgar + Güneş,5568.958589638999,2023-11-01,2023
Brüt Üretim,26369.147459225995,2023-11-01,2023
Taşkömürü + İthal Kömür,6915.239061429999,2023-12-01,2023
Lignite,3729.60194492,2023-12-01,2023
Liquid Fuels,41.810606113333336,2023-12-01,2023
Doğal Gaz + LNG,4626.298513477957,2023-12-01,2023
Yenilenebilir + Atık,915.038535359,2023-12-01,2023
Termik,16227.98866130029,2023-12-01,2023
Hidrolik,6809.5367393696,2023-12-01,2023
Jeotermal + Rüzgar + Güneş,5276.722239651999,2023-12-01,2023
Brüt Üretim,28314.24764032189,2023-12-01,2023
Taşkömürü + İthal Kömür,6797.745136442667,2024-01-01,2024
Lignite,3523.8817378115623,2024-01-01,2024
Liquid Fuels,55.50710999999999,2024-01-01,2024
Doğal Gaz + LNG,3839.712162859888,2024-01-01,2024
Yenilenebilir + Atık,908.0844112078588,2024-01-01,2024
Termik,15124.930558321976,2024-01-01,2024
Hidrolik,8362.238425610529,2024-01-01,2024
Jeotermal + Rüzgar + Güneş,5921.6932116016105,2024-01-01,2024
Brüt Üretim,29408.862195534115,2024-01-01,2024
Taşkömürü + İthal Kömür,6836.304230765697,2024-02-01,2024
Lignite,3262.6774567308244,2024-02-01,2024
Liquid Fuels,51.57753000000001,2024-02-01,2024
Doğal Gaz + LNG,3204.736979883798,2024-02-01,2024
Yenilenebilir + Atık,875.8880264581999,2024-02-01,2024
Termik,14231.184223838522,2024-02-01,2024
Hidrolik,7493.878587139861,2024-02-01,2024
Jeotermal + Rüzgar + Güneş,5199.269770435754,2024-02-01,2024
Brüt Üretim,26924.33258141413,2024-02-01,2024
Taşkömürü + İthal Kömür,6622.089481720774,2024-03-01,2024
Lignite,3493.58818306473,2024-03-01,2024
Liquid Fuels,68.45239000000001,2024-03-01,2024
Doğal Gaz + LNG,4898.426222148086,2024-03-01,2024
Yenilenebilir + Atık,896.4491721101593,2024-03-01,2024
Termik,15979.005449043749,2024-03-01,2024
Hidrolik,6822.49245305951,2024-03-01,2024
Jeotermal + Rüzgar + Güneş,5065.069055891991,2024-03-01,2024
Brüt Üretim,27866.56695799525,2024-03-01,2024
Taşkömürü + İthal Kömür,3761.113518720847,2024-04-01,2024
Lignite,2637.7940128302675,2024-04-01,2024
Liquid Fuels,58.79781000000002,2024-04-01,2024
Doğal Gaz + LNG,2340.2288964349937,2024-04-01,2024
Yenilenebilir + Atık,862.2792410312397,2024-04-01,2024
Termik,9660.213479017348,2024-04-01,2024
Hidrolik,8090.479521962017,2024-04-01,2024
Jeotermal + Rüzgar + Güneş,6583.521298745871,2024-04-01,2024
Brüt Üretim,24334.21429972524,2024-04-01,2024
Taşkömürü + İthal Kömür,4941.271275928112,2024-05-01,2024
Lignite,3356.0140248972903,2024-05-01,2024
Liquid Fuels,64.98058,2024-05-01,2024
Doğal Gaz + LNG,3698.754849594428,2024-05-01,2024
Yenilenebilir + Atık,891.7134790370807,2024-05-01,2024
Termik,12952.73420945691,2024-05-01,2024
Hidrolik,8266.904738932466,2024-05-01,2024
Jeotermal + Rüzgar + Güneş,5935.243926404756,2024-05-01,2024
Brüt Üretim,27154.882874794133,2024-05-01,2024
Taşkömürü + İthal Kömür,6048.079027480008,2024-06-01,2024
Lignite,3428.1508449371254,2024-06-01,2024
Liquid Fuels,63.23508999999999,2024-06-01,2024
Doğal Gaz + LNG,4744.809831528092,2024-06-01,2024
Yenilenebilir + Atık,843.3607155904599,2024-06-01,2024
Termik,15127.635509535688,2024-06-01,2024
Hidrolik,6527.564719988569,2024-06-01,2024
Jeotermal + Rüzgar + Güneş,7035.527854694326,2024-06-01,2024
Brüt Üretim,28690.728084218583,2024-06-01,2024
Taşkömürü + İthal Kömür,7594.428777291346,2024-07-01,2024
Lignite,4028.310883616811,2024-07-01,2024
Liquid Fuels,55.95046,2024-07-01,2024
Doğal Gaz + LNG,7744.311034148968,2024-07-01,2024
Yenilenebilir + Atık,867.7586225525912,2024-07-01,2024
Termik,20290.75977760972,2024-07-01,2024
Hidrolik,6300.47051498843,2024-07-01,2024
Jeotermal + Rüzgar + Güneş,8072.440351916517,2024-07-01,2024
Brüt Üretim,34663.67064451467,2024-07-01,2024
Taşkömürü + İthal Kömür,7847.005379683208,2024-08-01,2024
Lignite,3942.681061031932,2024-08-01,2024
Liquid Fuels,63.94912,2024-08-01,2024
Doğal Gaz + LNG,8522.757488800331,2024-08-01,2024
Yenilenebilir + Atık,877.3838014179673,2024-08-01,2024
Termik,21253.77685093344,2024-08-01,2024
Hidrolik,5341.494896259646,2024-08-01,2024
Jeotermal + Rüzgar + Güneş,7179.477819919051,2024-08-01,2024
Brüt Üretim,33774.749567112136,2024-08-01,2024
Taşkömürü + İthal Kömür,7555.738219562715,2024-09-01,2024
Lignite,3654.1228029618633,2024-09-01,2024
Liquid Fuels,60.94928999999999,2024-09-01,2024
Doğal Gaz + LNG,6277.987074906713,2024-09-01,2024
Yenilenebilir + Atık,799.4840977736479,2024-09-01,2024
Termik,18348.28148520494,2024-09-01,2024
Hidrolik,4764.347700207948,2024-09-01,2024
Jeotermal + Rüzgar + Güneş,5602.516925459386,2024-09-01,2024
Brüt Üretim,28715.14611087228,2024-09-01,2024
Taşkömürü + İthal Kömür,7466.535045725339,2024-10-01,2024
Lignite,3560.9174753145644,2024-10-01,2024
Liquid Fuels,59.09404,2024-10-01,2024
Doğal Gaz + LNG,5386.789482477415,2024-10-01,2024
Yenilenebilir + Atık,879.9890495496026,2024-10-01,2024
Termik,17353.325093066924,2024-10-01,2024
Hidrolik,4196.119669887914,2024-10-01,2024
Jeotermal + Rüzgar + Güneş,6323.837227631863,2024-10-01,2024
Brüt Üretim,27873.2819905867,2024-10-01,2024
Taşkömürü + İthal Kömür,7501.675438378099,2024-11-01,2024
Lignite,3538.558054197288,2024-11-01,2024
Liquid Fuels,60.10541999999999,2024-11-01,2024
Doğal Gaz + LNG,6876.618005486433,2024-11-01,2024
Yenilenebilir + Atık,832.6849609596836,2024-11-01,2024
Termik,18809.641879021503,2024-11-01,2024
Hidrolik,4273.253410516912,2024-11-01,2024
Jeotermal + Rüzgar + Güneş,5498.343311599501,2024-11-01,2024
Brüt Üretim,28581.238601137917,2024-11-01,2024
Taşkömürü + İthal Kömür,7721.759400635316,2024-12-01,2024
Lignite,3628.395191339053,2024-12-01,2024
Liquid Fuels,65.08312,2024-12-01,2024
Doğal Gaz + LNG,8471.04532589181,2024-12-01,2024
Yenilenebilir + Atık,874.2114417808813,2024-12-01,2024
Termik,20760.49447964705,2024-12-01,2024
Hidrolik,4427.817614234203,2024-12-01,2024
Jeotermal + Rüzgar + Güneş,5729.879446154495,2024-12-01,2024
Brüt Üretim,30918.191540035757,2024-12-01,2024
